2020-08-25 05:50:30,908(HH:mm) | INFO |DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-26 07:39:08,806 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.038 seconds
2020-08-26 07:51:05,718 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-26 07:51:05,722 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-26 07:51:15,976 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-26 07:51:16,141 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-26 07:51:16,145 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-08-26 07:51:16,146 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2020-08-26 07:51:16,185 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-08-26 07:51:16,186 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2020-08-26 07:51:16,229 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2020-08-26 07:51:16,235 | INFO | DefaultCamelContext.java 4026 | Route: route2 started and consuming from: file://data/input1?noop=true
2020-08-26 07:51:16,235 | INFO | DefaultCamelContext.java 3195 | Total 2 routes, of which 2 are started
2020-08-26 07:51:16,240 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 10.522 seconds
